column_name,description,data_type,notes
project.project_id,Unique GDC project identifier (e.g. TCGA‑CESC),string,
cases.case_id,Unique GDC case identifier (internal),string,
cases.submitter_id,Submitter‑provided patient barcode/case barcode,string,
cases.disease_type,Recorded disease type for the case,string,
cases.primary_site,Primary anatomical site of the tumor,string,
cases.index_date,Baseline index date for follow‑up and survival timelines,date,
demographic.gender,Recorded sex/gender of the patient,string enum,
demographic.race,Recorded race of the patient,string enum,
demographic.ethnicity,Recorded ethnicity of the patient,string enum,
demographic.age_at_index,Age in years at index/enrollment,integer,
demographic.vital_status,Vital status at last follow‑up (Alive/Dead),string enum,
demographic.days_to_death,Days from index to death,integer,
diagnoses.age_at_diagnosis,Patient age at diagnosis (years),integer,
diagnoses.icd_10_code,ICD‑10 diagnostic code for the tumor,string,
diagnoses.morphology,Tumor histologic/morphologic classification,string,
diagnoses.ajcc_pathologic_stage,AJCC pathologic tumor stage,string enum,
diagnoses.ajcc_pathologic_t,AJCC T category (tumor extent),string enum,
diagnoses.ajcc_pathologic_n,AJCC N category (lymph node involvement),string enum,
diagnoses.ajcc_pathologic_m,AJCC M category (distant metastasis),string enum,
diagnoses.days_to_last_follow_up,Days from diagnosis to last follow‑up,integer,
diagnoses.days_to_recurrence,Days from diagnosis to recurrence,integer,
diagnoses.last_known_disease_status,Disease status at last follow‑up,string enum,
